cash_amount,currency,declaration_date,dividend_type,ex_dividend_date,frequency,id,pay_date,record_date,ticker
0.9133,USD,2022-10-11,CD,2022-10-20,4,E68d87f08e36d0578cef2a8108ca7715c7abb6d4a7e73bd93d2514c8185f7dde9,2022-11-15,2022-10-21,PG
0.9133,USD,2022-07-12,CD,2022-07-21,4,E0287c469663eeec28fa9581e6f693a608be1441980358aaf582444dd28c63575,2022-08-15,2022-07-22,PG
0.9133,USD,2022-04-12,CD,2022-04-21,4,E68e1d132ac65d03b0925be31014329db90b544ed4fa1bc45f4acea32f5c39450,2022-05-16,2022-04-22,PG
0.8698,USD,2022-01-11,CD,2022-01-20,4,E0cbf6d429553c549ec6a9c734dcc09ccfea4667c90ef5c809e58fba18538c1e2,2022-02-15,2022-01-21,PG
0.8698,USD,2021-10-12,CD,2021-10-21,4,E195f2d2a94caf78ec4c18b3fdeeeb4f0bb4231832dbc7f2a382b423ec334b02b,2021-11-15,2021-10-22,PG
0.8698,USD,2021-07-13,CD,2021-07-22,4,E9ca3e95b507be5225e88e18327496faba2ce4b7d6a01c52d421004c8aea53b57,2021-08-16,2021-07-23,PG
0.8698,USD,2021-04-13,CD,2021-04-22,4,Ee9c15a8230659bb6b53d58a136cb8592b5ee74375d5e72c8e43e61cbcccd0c2a,2021-05-17,2021-04-23,PG
0.7907,USD,2021-01-12,CD,2021-01-21,4,E28627d8220cff749fa25b3c98c319582c95404d03754ebabe88524f171a4356e,2021-02-16,2021-01-22,PG
0.7907,USD,2020-10-13,CD,2020-10-22,4,Ec8e8bf66d979437b4eb91a6aca3c0aeba7eb17364a37b4dcbd3b464713d4af8f,2020-11-16,2020-10-23,PG
0.7907,USD,2020-07-14,CD,2020-07-23,4,Ed8d114f038d1b5b3659a03aed4d8a335d89001244818e34d85a7b6ec6a7340cb,2020-08-17,2020-07-24,PG
0.7907,USD,2020-04-14,CD,2020-04-23,4,E52f6abbd97c00bcef2faa619ff036634617e9453627c82ff05036d23a01c1179,2020-05-15,2020-04-24,PG
0.7459,USD,2020-01-14,CD,2020-01-23,4,E71db3fb91804eb40606d86263c8edf4e30f18a5ee873e8532aae4cb587de684c,2020-02-18,2020-01-24,PG
0.7459,USD,2019-10-08,CD,2019-10-17,4,Ef4414b68c0ce11015324b4be33ac5ca51fd23fd040390d138d0a12170392c81c,2019-11-15,2019-10-18,PG
0.7459,USD,2019-07-09,CD,2019-07-18,4,E659e231bb637122214b59d7a24c0b4049bb19b4634f8f35c26a14b14cbc88e14,2019-08-15,2019-07-19,PG
0.7459,USD,2019-04-09,CD,2019-04-17,4,Ecaf4a16b55f93a4a5caf5132815196d9ddda0c3a16037ecdab802b0bbea859fc,2019-05-15,2019-04-19,PG
0.7172,USD,2019-01-08,CD,2019-01-17,4,Ef11a9dc126cbd54a1f514e6f3c182614cd78b3010b4ed8af1a716421334df3e0,2019-02-15,2019-01-18,PG
0.7172,USD,2018-10-09,CD,2018-10-18,4,E77053b62dea39eaa2872d3cdf90fb95e2611cccf2be67cf9a6738cbd1c1dedd8,2018-11-15,2018-10-19,PG
0.7172,USD,2018-07-10,CD,2018-07-19,4,E0b4a28819f5eb735b7cb4b607491a5710fabcfbcf1424644cfb3c2a6bde96487,2018-08-15,2018-07-20,PG
0.7172,USD,2018-04-10,CD,2018-04-19,4,E4257a6519e66f1d3c6e1885afd4735d23ad069872e61f837dbab76504732d08e,2018-05-15,2018-04-20,PG
0.6896,USD,2018-01-09,CD,2018-01-18,4,E236a6b37ab929f9d57a395057a6a5546025de2d7c0908f334aa5693b29c3a68d,2018-02-15,2018-01-19,PG
0.6896,USD,2017-10-10,CD,2017-10-19,4,E6aba0f0c88252cc72bb35732aa35a69727b9fc247e8b58d25033664eb75e0c61,2017-11-15,2017-10-20,PG
0.6896,USD,2017-07-11,CD,2017-07-19,4,Eef86e820a8c212ddc619d3d6d975680b45bdd62cae289af3ae953f6461137e06,2017-08-15,2017-07-21,PG
0.6896,USD,2017-04-12,CD,2017-04-19,4,Ee92010e16ac63e9ca063894cbb63156aa4b2f3c1102ecc6f799bd34a67e46a86,2017-05-15,2017-04-21,PG
0.6695,USD,2017-01-10,CD,2017-01-18,4,Eae9482db1162664ed9727eead8e78e05d0e006411318fcf96818b96eb21a8798,2017-02-15,2017-01-20,PG
0.6695,USD,2016-10-11,CD,2016-10-19,4,Eedeb6d6a5ae4807ca1c8b9e71e079841dfcc8901ffb8b7c437d9b449df64aef2,2016-11-15,2016-10-21,PG
0.6695,USD,,CD,2016-07-20,4,Eef6c973022c3111697428b227241e25ed655fa37664b0e50eda0ffdcfc02acfa,2016-08-15,2016-07-22,PG
0.6695,USD,2016-04-08,CD,2016-04-14,4,E369c60249c4f2ccdd393d4a8c635cf1ac7bd93a81f13520c72e6e580ecc1998f,2016-05-16,2016-04-18,PG
0.6629,USD,,CD,2016-01-20,4,E8d4a40d6c155a5dacd2a165ee1873be49458925d1a88c6b941bbafd20a925add,2016-02-16,2016-01-22,PG
0.6629,USD,,CD,2015-10-21,4,Ef2a6ffdea76b72f6f5de075e41849c42f35ed78fe6f01157fdd437c679115307,2015-11-16,2015-10-23,PG
0.6629,USD,,CD,2015-07-22,4,E00d1654036d4e4013e8bec7f402df01d6e04fe2957f3284af0670ab0a1f423e4,2015-08-17,2015-07-24,PG
0.6629,USD,2015-04-17,CD,2015-04-23,4,E7a073f5898f0dd0e4b90db4b69b6cb940432d2fd4209d965749ac984291edac4,2015-05-15,2015-04-27,PG
0.6436,USD,2015-01-13,CD,2015-01-21,4,E518eb5a3909f8be0963877f59a203e9e3bbb30546409945b92d2238b55bd41a9,2015-02-17,2015-01-23,PG
0.6436,USD,2014-10-14,CD,2014-10-22,4,E0f596a84ca01883d94095fd8844a306005d5e8a3889d0ba2f212d9ceadcac3a3,2014-11-17,2014-10-24,PG
0.6436,USD,2014-07-08,CD,2014-07-16,4,Ec76a225a57624b1379aff48d4615528263f116168e562bf6aa204eb0e0b6c51c,2014-08-15,2014-07-18,PG
